description,code_type,code_new
PERSISTENT COUGH,conceptid,co_139188001
PERSISTENT COUGH,conceptid,co_161931009
PERSISTENT COUGH,conceptid,co_284523002
PERSISTENT COUGH,ctv3,ct_Ya4qa
PERSISTENT COUGH,medcode,me_3628
PERSISTENT COUGH,readv2_5,re_171B.
PERSISTENT COUGH,readv2_7,re_171B.00
PRODUCING SPUTUM,ctv3,ct_Y7DvW
PRODUCTIVE COUGH,ctv3,ct_Y7DvV
PRODUCTIVE COUGH -CLEAR SPUTUM,aurmedcode,au_252351017
PRODUCTIVE COUGH -CLEAR SPUTUM,conceptid,co_139180008
PRODUCTIVE COUGH -CLEAR SPUTUM,conceptid,co_161923004
PRODUCTIVE COUGH -CLEAR SPUTUM,ctv3,ct_Y7DvZ
PRODUCTIVE COUGH -CLEAR SPUTUM,medcode,me_7706
PRODUCTIVE COUGH -CLEAR SPUTUM,readv2_5,re_1713.
PRODUCTIVE COUGH -CLEAR SPUTUM,readv2_7,re_1713.00
PRODUCTIVE COUGH -GREEN SPUTUM,aurmedcode,au_252352012
PRODUCTIVE COUGH -GREEN SPUTUM,conceptid,co_139181007
PRODUCTIVE COUGH -GREEN SPUTUM,conceptid,co_161924005
PRODUCTIVE COUGH -GREEN SPUTUM,ctv3,ct_Y7DvY
PRODUCTIVE COUGH -GREEN SPUTUM,medcode,me_7773
PRODUCTIVE COUGH -GREEN SPUTUM,readv2_5,re_1714.
PRODUCTIVE COUGH -GREEN SPUTUM,readv2_7,re_1714.00
PRODUCTIVE COUGH NOS,aurmedcode,au_397882011
PRODUCTIVE COUGH NOS,conceptid,co_139183005
PRODUCTIVE COUGH NOS,conceptid,co_161926007
PRODUCTIVE COUGH NOS,conceptid,co_267034005
PRODUCTIVE COUGH NOS,ctv3,ct_Y7DvX
PRODUCTIVE COUGH NOS,medcode,me_1234
PRODUCTIVE COUGH NOS,readv2_7,re_1716.00
PRODUCTIVE COUGH-YELLOW SPUTUM,aurmedcode,au_252353019
PRODUCTIVE COUGH-YELLOW SPUTUM,conceptid,co_139182000
PRODUCTIVE COUGH-YELLOW SPUTUM,conceptid,co_161925006
PRODUCTIVE COUGH-YELLOW SPUTUM,ctv3,ct_Y7Dva
PRODUCTIVE COUGH-YELLOW SPUTUM,medcode,me_7708
PRODUCTIVE COUGH-YELLOW SPUTUM,readv2_5,re_1715.
PRODUCTIVE COUGH-YELLOW SPUTUM,readv2_7,re_1715.00
WHOOPING COUGH,aurmedcode,au_46589015
WHOOPING COUGH,conceptid,co_154300007
WHOOPING COUGH,conceptid,co_186350009
WHOOPING COUGH,ctv3,ct_Y101C
WHOOPING COUGH,medcode,me_763
WHOOPING COUGH,readv2_7,re_A33..00
[D]COUGH,aurmedcode,au_317403015
[D]COUGH,conceptid,co_158383001
[D]COUGH,conceptid,co_207066005
[D]COUGH,conceptid,co_498061000000106
[D]COUGH,ctv3,ct_YM10a
[D]COUGH,medcode,me_1160
[D]COUGH,readv2_5,re_R062.
[D]COUGH,readv2_7,re_R062.00
